Year|Code|Title|Instructor|School|Term|Period|Classroom|c_id
2025|STAX101L|Statistics II [E] 01|YAMAMOTO, Teppei|Schl Political Sci/Econo|summer quarter|['01:Fri.3', '02:othersOn demand']|['3-902 (SPSE PC Room)']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200110001202511G200110011&pLng=en
2025|STAX101L|Statistics II [E] 02|YAMAMOTO, Teppei|Schl Political Sci/Econo|summer quarter|['01:Fri.4', '02:othersOn demand']|['3-902 (SPSE PC Room)']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200110002202511G200110011&pLng=en
2025|STAX101L|Statistics II [E] 03|YAMAMOTO, Teppei|Schl Political Sci/Econo|summer quarter|['01:Fri.5', '02:othersOn demand']|['3-902 (SPSE PC Room)']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200110003202511G200110011&pLng=en
2025|ECNA321L|Finance [E] 01|YAMAMOTO, Ryuichi|Schl Political Sci/Econo|spring semester|['Thur.4']|['3-305']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200111001202511G200111011&pLng=en
2025|ECNE301L|Topics in Economics (Data and Econometric Methods) [E] 01|PERVIN, Shahida|Schl Political Sci/Econo|spring semester|['Mon.2']|['3-704']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200RA0401202511G200RA0411&pLng=en
2025|ECNT331L|Advanced Topics in Economics: Advanced Experimental Economics [E] 01|NOUSSAIR, Charles Nabih／FUNAKI, Yukihiko|Schl Political Sci/Econo|summer quarter|['01:Mon.2', '02:Thur.2']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200SA0701202511G200SA0711&pLng=en
2025|ECNT331L|Advanced Topics in Economics: Market Design [E] 01|KORIYAMA, Yukio／FUNAKI, Yukihiko|Schl Political Sci/Econo|summer quarter|['01:Wed.4', '02:Wed.5']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200SA0901202511G200SA0911&pLng=en
2025|MATX131L|Introduction to Mathematical Analysis A (Linear Algebra) [E] 01|KVASOV, Dmitriy|Schl Political Sci/Econo|fall quarter|['01:Mon.2', '02:Fri.2']|['01:3-301', '02:3-302']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G300101101202511G300101111&pLng=en
2025|MATX131L|Introduction to Mathematical Analysis B (Calculus) [E] 01|NOBE, Atsushi|Schl Political Sci/Econo|winter quarter|['01:Mon.2', '02:Fri.4']|['01:3-301', '02:3-401']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G300101201202511G300101211&pLng=en
2025|ECNT111L|Introduction to Game Theory [E] 01|VESZTEG, Robert Ferenc|Schl Political Sci/Econo|spring semester|['Thur.5']|['3-301']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G300102001202511G300102011&pLng=en
